Ma	T	Ts	SL	LGM_Ts	Scaling_factor
0.02	2	9.46	-118.8	0	0
0.03	3	10.57	-91.2	1.11	0.250
0.04	4	10.84	-84.7	1.38	0.311
0.05	5	10.67	-88.9	1.21	0.273
0.06	6	11	-80.6	1.54	0.347
0.069	7	11.35	-72	1.89	0.426
0.08	8	12.74	-37.5	3.28	0.739
0.09	9	12.2	-50.9	2.74	0.617
0.1	10	12.74	-37.4	3.28	0.739
0.109	11	12.41	-45.7	2.95	0.664
0.12	12	14.52	2	5.06	1.140
0.131	13	11.83	-60.1	2.37	0.534
0.14	14	9.97	-106.2	0.51	0.115
0.151	15	10.13	-102.1	0.67	0.151
0.16	16	10.37	-96.3	0.91	0.205
0.171	17	11.27	-73.9	1.81	0.408
0.18	18	11.05	-79.4	1.59	0.358
0.19	19	12.71	-38.3	3.25	0.732
0.2	20	13.52	-18	4.06	0.914
0.2115	21	13.23	-25.3	3.77	0.849
0.22	22	12.85	-34.8	3.39	0.764
0.229	23	12.29	-48.6	2.83	0.637
0.24	24	13.56	-17	4.1	0.923
0.2493	25	10.57	-91.3	1.11	0.250
0.26	26	11.15	-76.8	1.69	0.381
0.27	27	10.75	-86.8	1.29	0.291
0.28	28	12.27	-49.2	2.81	0.633
0.29	29	12.31	-48.2	2.85	0.642
0.3	30	11.35	-71.8	1.89	0.426
0.3105	31	13.09	-28.6	3.63	0.818
0.32	32	13.33	-22.8	3.87	0.872
0.3292	33	13.86	-9.6	4.4	0.991
0.34	34	11.66	-64.2	2.2	0.495
0.3503	35	10.54	-92.1	1.08	0.243
0.36	36	11.3	-73.2	1.84	0.414
0.3716	37	11.56	-66.8	2.1	0.473
0.38	38	11.93	-57.5	2.47	0.556
0.3898	39	12.82	-35.5	3.36	0.757
0.4	40	14.15	-2.5	4.69	1.056
0.41	41	13.59	-16.3	4.13	0.930
0.42	42	11.87	-59	2.41	0.543
0.43	43	10.22	-99.9	0.76	0.171
0.44	44	9.83	-109.7	0.37	0.083
0.45	45	10.17	-101.1	0.71	0.160
0.46	46	10.82	-85.1	1.36	0.306
0.471	47	10.64	-89.6	1.18	0.266
0.48	48	11.65	-64.6	2.19	0.493
0.49	49	13.23	-25.2	3.77	0.849
0.5	50	12.42	-45.4	2.96	0.667
0.511	51	12.01	-55.6	2.55	0.574
0.52	52	11.7	-63.1	2.24	0.505
0.53	53	11.73	-62.5	2.27	0.511
0.54	54	11.4	-70.6	1.94	0.437
0.55	55	10.61	-90.3	1.15	0.259
0.56	56	11.76	-61.8	2.3	0.518
0.5707	57	12.72	-38	3.26	0.734
0.58	58	12.94	-32.6	3.48	0.784
0.5898	59	12.71	-38.1	3.25	0.732
0.6	60	12.68	-39	3.22	0.725
0.61	61	12.63	-40.3	3.17	0.714
0.62	62	12.78	-36.4	3.32	0.748
0.63	63	10.13	-102.1	0.67	0.151
0.64	64	10.18	-100.8	0.72	0.162
0.649	65	10.54	-92.1	1.08	0.243
0.66	66	10.58	-91.1	1.12	0.252
0.668	67	11.06	-79	1.6	0.360
0.68	68	11.57	-66.3	2.11	0.475
0.69	69	13.24	-25	3.78	0.851
0.7	70	12.99	-31.3	3.53	0.795
0.712	71	11.38	-71.1	1.92	0.432
0.72	72	10.79	-85.8	1.33	0.300
0.73	73	11.56	-66.8	2.1	0.473
0.74	74	11.62	-65.2	2.16	0.486
0.7513	75	10.99	-80.9	1.53	0.345
0.76	76	10.93	-82.3	1.47	0.331
0.769	77	11.96	-56.7	2.5	0.563
0.78	78	13.31	-23.4	3.85	0.867
0.79	79	11.6	-65.8	2.14	0.482
0.8	80	11.06	-79.1	1.6	0.360
0.811	81	12.35	-47.1	2.89	0.651
0.82	82	12.43	-45.2	2.97	0.669
0.832	83	12.41	-45.7	2.95	0.664
0.84	84	12.9	-33.5	3.44	0.775
0.851	85	13.26	-24.6	3.8	0.856
0.86	86	13.14	-27.5	3.68	0.829
0.872	87	10.96	-81.4	1.5	0.338
0.88	88	10.84	-84.7	1.38	0.311
0.89	89	11.22	-75.2	1.76	0.396
0.9	90	11.84	-59.8	2.38	0.536
0.911	91	12.2	-50.8	2.74	0.617
0.92	92	11.99	-56	2.53	0.570
0.929	93	12.26	-49.3	2.8	0.631
0.94	94	13.18	-26.6	3.72	0.838
0.95	95	13.95	-7.4	4.49	1.011
0.96	96	12.03	-55	2.57	0.579
0.9705	97	12	-55.8	2.54	0.572
0.98	98	12.38	-46.3	2.92	0.658
0.989	99	12.33	-47.7	2.87	0.646
1	100	12.7	-38.4	3.24	0.730
1.01	101	11.84	-59.6	2.38	0.536
1.02	102	12.87	-34.2	3.41	0.768
1.0299	103	12.95	-32.2	3.49	0.786
1.04	104	11.04	-79.6	1.58	0.356
1.0517	105	12.09	-53.7	2.63	0.592
1.06	106	13.19	-26.2	3.73	0.840
1.0694	107	14.63	2.9	5.17	1.164
1.08	108	13.06	-29.5	3.6	0.811
1.092	109	12.51	-43	3.05	0.687
1.1	110	12.38	-46.4	2.92	0.658
1.1106	111	12.88	-34	3.42	0.770
1.12	112	11.73	-62.4	2.27	0.511
1.1293	113	10.96	-81.4	1.5	0.338
1.14	114	12.13	-52.5	2.67	0.601
1.15	115	12.67	-39.1	3.21	0.723
1.16	116	13.24	-25	3.78	0.851
1.1697	117	13.15	-27.2	3.69	0.831
1.18	118	13.55	-17.5	4.09	0.921
1.1899	119	12.65	-39.6	3.19	0.718
1.2	120	11.55	-66.9	2.09	0.471
1.211	121	10.96	-81.6	1.5	0.338
1.2196	122	12.12	-52.8	2.66	0.599
1.23	123	13.99	-6.6	4.53	1.020
1.2399	124	14.16	-2.3	4.7	1.059
1.2499	125	11.32	-72.6	1.86	0.419
1.26	126	12.22	-50.3	2.76	0.622
1.27	127	13.05	-29.7	3.59	0.809
1.28	128	12.87	-34.3	3.41	0.768
1.2891	129	11.47	-68.9	2.01	0.453
1.3	130	12.16	-51.9	2.7	0.608
1.3091	131	12.72	-38	3.26	0.734
1.32	132	12.71	-38.3	3.25	0.732
1.3301	133	12.04	-54.8	2.58	0.581
1.34	134	12.29	-48.6	2.83	0.637
1.3503	135	13.86	-9.8	4.4	0.991
1.36	136	13.38	-21.5	3.92	0.883
1.3699	137	11.54	-67.2	2.08	0.468
1.38	138	12.19	-51.2	2.73	0.615
1.39	139	13.71	-13.4	4.25	0.957
1.4	140	13.73	-12.9	4.27	0.962
1.4117	141	12.41	-45.5	2.95	0.664
1.42	142	12.11	-53.1	2.65	0.597
1.43	143	13.24	-25	3.78	0.851
1.44	144	13.81	-10.9	4.35	0.980
1.451	145	13.87	-9.3	4.41	0.993
1.46	146	11.49	-68.4	2.03	0.457
1.469	147	12.26	-49.3	2.8	0.631
1.48	148	13.56	-17	4.1	0.923
1.488	149	13.94	-7.6	4.48	1.009
1.5	150	11.35	-71.8	1.89	0.426
1.5088	151	11.44	-69.7	1.98	0.446
1.52	152	12.64	-39.8	3.18	0.716
1.532	153	11.72	-62.7	2.26	0.509
1.5397	154	11.46	-69.1	2	0.450
1.549	155	12.03	-55	2.57	0.579
1.56	156	13.52	-18	4.06	0.914
1.571	157	12.47	-44.1	3.01	0.678
1.5796	158	11.63	-65	2.17	0.489
1.5895	159	12.21	-50.6	2.75	0.619
1.5995	160	13.01	-30.7	3.55	0.800
1.612	161	13.43	-20.4	3.97	0.894
1.62	162	12.81	-35.6	3.35	0.755
1.6293	163	12.41	-45.7	2.95	0.664
1.64	164	13.35	-22.3	3.89	0.876
1.648	165	12.07	-54.1	2.61	0.588
1.66	166	11.59	-66	2.13	0.480
1.6704	167	12.11	-53	2.65	0.597
1.68	168	13.14	-27.6	3.68	0.829
1.69	169	12.98	-31.4	3.52	0.793
1.7	170	11.62	-65.3	2.16	0.486
1.709	171	12.75	-37.2	3.29	0.741
1.7199	172	12.61	-40.7	3.15	0.709
1.7294	173	12.77	-36.7	3.31	0.745
1.74	174	12.83	-35.2	3.37	0.759
1.7501	175	12.81	-35.8	3.35	0.755
1.76	176	13.63	-15.3	4.17	0.939
1.77	177	13.69	-14	4.23	0.953
1.78	178	13.02	-30.4	3.56	0.802
1.789	179	11.93	-57.6	2.47	0.556
1.8	180	12.87	-34.3	3.41	0.768
1.81	181	13.27	-24.3	3.81	0.858
1.82	182	12.66	-39.4	3.2	0.721
1.8304	183	13.16	-29.5	3.7	0.833
1.84	184	12.08	-50.9	2.62	0.590
1.85	185	13.12	-30.4	3.66	0.824
1.86	186	13.1	-30.7	3.64	0.820
1.87	187	13.58	-21.2	4.12	0.928
1.88	188	12.78	-37.1	3.32	0.748
1.89	189	13.33	-26.2	3.87	0.872
1.9	190	13.63	-20.2	4.17	0.939
1.91	191	12.46	-43.5	3	0.676
1.92	192	12.06	-51.3	2.6	0.586
1.931	193	13.29	-26.9	3.83	0.863
